ID,Tanggal,Value
UDR101E,2025-04-21 11:00:00Z,60
UDR101E,2025-04-21 12:00:00Z,59
UDR101E,2025-04-21 13:00:00Z,60
UDR101E,2025-04-21 14:00:00Z,60
UDR101E,2025-04-21 15:00:00Z,60
UDR101E,2025-04-21 16:00:00Z,60
UDR101E,2025-04-21 17:00:00Z,60
UDR101E,2025-04-21 18:00:00Z,61
UDR101E,2025-04-21 19:00:00Z,60
UDR101E,2025-04-21 20:00:00Z,61
UDR101E,2025-04-21 21:00:00Z,64
UDR101E,2025-04-21 22:00:00Z,65
UDR101E,2025-04-21 23:00:00Z,66
UDR101E,2025-04-22 00:00:00Z,66
UDR101E,2025-04-22 01:00:00Z,66
UDR101E,2025-04-22 02:00:00Z,63
UDR101E,2025-04-22 03:00:00Z,63
UDR101E,2025-04-22 04:00:00Z,64
UDR101E,2025-04-22 05:00:00Z,66
UDR101E,2025-04-22 06:00:00Z,68
UDR101E,2025-04-22 07:00:00Z,73
UDR101E,2025-04-22 08:00:00Z,76
UDR101E,2025-04-22 09:00:00Z,80
UDR101E,2025-04-22 10:00:00Z,83
UDR101E,2025-04-22 11:00:00Z,86
UDR101E,2025-04-22 12:00:00Z,88
UDR101E,2025-04-22 13:00:00Z,90
UDR101E,2025-04-22 14:00:00Z,90
UDR101E,2025-04-22 15:00:00Z,91
UDR101E,2025-04-22 16:00:00Z,91
UDR101E,2025-04-22 17:00:00Z,91
UDR101E,2025-04-22 18:00:00Z,90
UDR101E,2025-04-22 19:00:00Z,91
UDR101E,2025-04-22 20:00:00Z,91
UDR101E,2025-04-22 21:00:00Z,90
UDR101E,2025-04-22 22:00:00Z,90
UDR101E,2025-04-22 23:00:00Z,90
UDR101E,2025-04-23 00:00:00Z,91
UDR101E,2025-04-23 01:00:00Z,96
UDR101E,2025-04-23 02:00:00Z,101
UDR101E,2025-04-23 03:00:00Z,105
UDR101E,2025-04-23 04:00:00Z,109
UDR101E,2025-04-23 05:00:00Z,110
UDR101E,2025-04-23 06:00:00Z,111
UDR101E,2025-04-23 07:00:00Z,108
UDR101E,2025-04-23 08:00:00Z,104
UDR101E,2025-04-23 09:00:00Z,103
UDR101E,2025-04-23 10:00:00Z,101
UDR0C5A,2025-04-21 14:00:00Z,56
UDR0C5A,2025-04-21 15:00:00Z,56
UDR0C5A,2025-04-21 16:00:00Z,56
UDR0C5A,2025-04-21 17:00:00Z,56
UDR0C5A,2025-04-21 18:00:00Z,58
UDR0C5A,2025-04-21 19:00:00Z,58
UDR0C5A,2025-04-21 20:00:00Z,58
UDR0C5A,2025-04-21 21:00:00Z,59
UDR0C5A,2025-04-21 22:00:00Z,59
UDR0C5A,2025-04-21 23:00:00Z,59
UDR0C5A,2025-04-22 00:00:00Z,60
UDR0C5A,2025-04-22 01:00:00Z,60
UDR0C5A,2025-04-22 02:00:00Z,60
UDR0C5A,2025-04-22 04:00:00Z,60
UDR0C5A,2025-04-22 06:00:00Z,63
UDR0C5A,2025-04-22 07:00:00Z,63
UDR0C5A,2025-04-22 09:00:00Z,65
UDR0C5A,2025-04-22 10:00:00Z,65
UDR0C5A,2025-04-22 11:00:00Z,66
UDR0C5A,2025-04-22 12:00:00Z,66
UDR0C5A,2025-04-22 13:00:00Z,69
UDR0C5A,2025-04-22 14:00:00Z,70
UDR0C5A,2025-04-22 15:00:00Z,71
UDR0C5A,2025-04-22 16:00:00Z,71
UDR0C5A,2025-04-22 17:00:00Z,71
UDR0C5A,2025-04-22 18:00:00Z,71
UDR0C5A,2025-04-22 22:00:00Z,75
UDR0C5A,2025-04-22 23:00:00Z,75
UDR0C5A,2025-04-23 00:00:00Z,73
UDR0C5A,2025-04-23 01:00:00Z,75
UDR0C5A,2025-04-23 02:00:00Z,76
UDR0C5A,2025-04-23 03:00:00Z,76
UDR0C5A,2025-04-23 04:00:00Z,76
UDR0C5A,2025-04-23 05:00:00Z,76
UDR0C5A,2025-04-23 06:00:00Z,75
UDR0C5A,2025-04-23 07:00:00Z,74
UDR0C5A,2025-04-23 08:00:00Z,73
UDR0C5A,2025-04-23 09:00:00Z,73
UDR0C5A,2025-04-23 10:00:00Z,73
UDR8F64,2024-11-11 04:00:00Z,85
UDR8F64,2024-11-11 05:00:00Z,84
UDR8F64,2024-11-11 06:00:00Z,83
UDR8F64,2024-11-11 07:00:00Z,81
UDR8F64,2024-11-11 08:00:00Z,80
UDR8F64,2024-11-11 09:00:00Z,80
UDR8F64,2024-11-11 10:00:00Z,79
UDR8F64,2024-11-11 11:00:00Z,78
UDR8F64,2024-11-11 12:00:00Z,78
UDR8F64,2024-11-11 13:00:00Z,79
UDR8F64,2024-11-11 14:00:00Z,79
UDR8F64,2024-11-11 15:00:00Z,79
UDR8F64,2024-11-11 16:00:00Z,78
UDR8F64,2024-11-11 17:00:00Z,76
UDR8F64,2024-11-11 18:00:00Z,78
UDR8F64,2024-11-11 19:00:00Z,76
UDR8F64,2024-11-11 20:00:00Z,76
UDR8F64,2024-11-11 21:00:00Z,75
UDR8F64,2024-11-11 22:00:00Z,76
UDR8F64,2024-11-11 23:00:00Z,75
UDR8F64,2024-11-12 00:00:00Z,73
UDR8F64,2024-11-12 01:00:00Z,71
UDR8F64,2024-11-12 02:00:00Z,71
UDR8F64,2024-11-12 03:00:00Z,70
UDR8F64,2024-11-12 04:00:00Z,70
UDR8F64,2024-11-12 05:00:00Z,69
UDR8F64,2024-11-12 06:00:00Z,69
UDR8F64,2024-11-12 07:00:00Z,70
UDR8F64,2024-11-12 08:00:00Z,70
UDR8F64,2024-11-12 09:00:00Z,69
UDR8F64,2024-11-12 10:00:00Z,69
UDR8F64,2024-11-12 11:00:00Z,69
UDR8F64,2024-11-12 12:00:00Z,68
UDR8F64,2024-11-12 13:00:00Z,66
UDR8F64,2024-11-12 14:00:00Z,65
UDR8F64,2024-11-12 15:00:00Z,64
UDR8F64,2024-11-12 16:00:00Z,64
UDR8F64,2024-11-12 17:00:00Z,64
UDR8F64,2024-11-12 18:00:00Z,65
UDR8F64,2024-11-12 19:00:00Z,65
UDR8F64,2024-11-12 20:00:00Z,66
UDR8F64,2024-11-12 21:00:00Z,68
UDR8F64,2024-11-12 22:00:00Z,69
UDR8F64,2024-11-12 23:00:00Z,70
UDR8F64,2024-11-13 00:00:00Z,71
UDR8F64,2024-11-13 01:00:00Z,74
UDR8F64,2024-11-13 02:00:00Z,75
UDR8F64,2024-11-13 03:00:00Z,79
UDR7567,2025-04-20 21:00:00Z,63
UDR7567,2025-04-20 22:00:00Z,62
UDR7567,2025-04-20 23:00:00Z,61
UDR7567,2025-04-21 03:00:00Z,62
UDR7567,2025-04-21 04:00:00Z,64
UDR7567,2025-04-21 05:00:00Z,65
UDR7567,2025-04-21 06:00:00Z,65
UDR7567,2025-04-21 07:00:00Z,65
UDR7567,2025-04-21 09:00:00Z,66
UDR7567,2025-04-21 10:00:00Z,66
UDR7567,2025-04-21 11:00:00Z,65
UDR7567,2025-04-21 12:00:00Z,64
UDR7567,2025-04-21 13:00:00Z,63
UDR7567,2025-04-21 14:00:00Z,62
UDR7567,2025-04-21 15:00:00Z,62
UDR7567,2025-04-21 16:00:00Z,61
UDR7567,2025-04-21 17:00:00Z,61
UDR7567,2025-04-21 18:00:00Z,60
UDR7567,2025-04-21 20:00:00Z,62
UDR7567,2025-04-21 21:00:00Z,63
UDR7567,2025-04-21 22:00:00Z,63
UDR7567,2025-04-22 11:00:00Z,66
UDR7567,2025-04-22 12:00:00Z,66
UDR7567,2025-04-22 13:00:00Z,67
UDR7567,2025-04-22 14:00:00Z,68
UDR7567,2025-04-22 15:00:00Z,70
UDR7567,2025-04-22 16:00:00Z,70
UDR7567,2025-04-22 17:00:00Z,70
UDR7567,2025-04-22 18:00:00Z,70
UDR7567,2025-04-22 20:00:00Z,71
UDR7961,2025-04-20 21:00:00Z,55
UDR7961,2025-04-20 22:00:00Z,54
UDR7961,2025-04-20 23:00:00Z,54
UDR7961,2025-04-21 03:00:00Z,58
UDR7961,2025-04-21 04:00:00Z,60
UDR7961,2025-04-21 05:00:00Z,61
UDR7961,2025-04-21 06:00:00Z,62
UDR7961,2025-04-21 07:00:00Z,62
UDR7961,2025-04-21 09:00:00Z,63
UDR7961,2025-04-21 10:00:00Z,63
UDR7961,2025-04-21 11:00:00Z,62
UDR7961,2025-04-21 12:00:00Z,62
UDR7961,2025-04-21 13:00:00Z,61
UDR7961,2025-04-21 14:00:00Z,61
UDR7961,2025-04-21 15:00:00Z,61
UDR7961,2025-04-21 16:00:00Z,60
UDR7961,2025-04-21 17:00:00Z,61
UDR7961,2025-04-21 18:00:00Z,60
UDR7961,2025-04-21 20:00:00Z,62
UDR7961,2025-04-21 21:00:00Z,64
UDR7961,2025-04-21 22:00:00Z,64
UDR7961,2025-04-22 11:00:00Z,72
UDR7961,2025-04-22 12:00:00Z,74
UDR7961,2025-04-22 13:00:00Z,76
UDR7961,2025-04-22 14:00:00Z,77
UDR7961,2025-04-22 15:00:00Z,78
UDR7961,2025-04-22 16:00:00Z,80
UDR7961,2025-04-22 17:00:00Z,80
UDR7961,2025-04-22 18:00:00Z,79
UDR7961,2025-04-22 20:00:00Z,79
UDRD1EC,2025-04-20 21:00:00Z,56
UDRD1EC,2025-04-20 22:00:00Z,57
UDRD1EC,2025-04-20 23:00:00Z,56
UDRD1EC,2025-04-21 03:00:00Z,56
UDRD1EC,2025-04-21 04:00:00Z,57
UDRD1EC,2025-04-21 05:00:00Z,58
UDRD1EC,2025-04-21 06:00:00Z,58
UDRD1EC,2025-04-21 07:00:00Z,57
UDRD1EC,2025-04-21 09:00:00Z,56
UDRD1EC,2025-04-21 10:00:00Z,57
UDRD1EC,2025-04-21 11:00:00Z,58
UDRD1EC,2025-04-21 12:00:00Z,57
UDRD1EC,2025-04-21 13:00:00Z,57
UDRD1EC,2025-04-21 14:00:00Z,57
UDRD1EC,2025-04-21 15:00:00Z,57
UDRD1EC,2025-04-21 16:00:00Z,57
UDRD1EC,2025-04-21 17:00:00Z,58
UDRD1EC,2025-04-21 18:00:00Z,59
UDRD1EC,2025-04-21 20:00:00Z,61
UDRD1EC,2025-04-21 21:00:00Z,63
UDRD1EC,2025-04-21 22:00:00Z,65
UDRD1EC,2025-04-22 11:00:00Z,94
UDRD1EC,2025-04-22 12:00:00Z,94
UDRD1EC,2025-04-22 13:00:00Z,94
UDRD1EC,2025-04-22 14:00:00Z,93
UDRD1EC,2025-04-22 15:00:00Z,95
UDRD1EC,2025-04-22 16:00:00Z,95
UDRD1EC,2025-04-22 17:00:00Z,94
UDRD1EC,2025-04-22 18:00:00Z,93
UDRD1EC,2025-04-22 20:00:00Z,94
UDR8233,2025-04-20 21:00:00Z,45
UDR8233,2025-04-20 22:00:00Z,45
UDR8233,2025-04-20 23:00:00Z,44
UDR8233,2025-04-21 03:00:00Z,43
UDR8233,2025-04-21 04:00:00Z,45
UDR8233,2025-04-21 05:00:00Z,45
UDR8233,2025-04-21 06:00:00Z,45
UDR8233,2025-04-21 07:00:00Z,46
UDR8233,2025-04-21 09:00:00Z,45
UDR8233,2025-04-21 10:00:00Z,46
UDR8233,2025-04-21 11:00:00Z,45
UDR8233,2025-04-21 12:00:00Z,44
UDR8233,2025-04-21 13:00:00Z,44
UDR8233,2025-04-21 14:00:00Z,43
UDR8233,2025-04-21 15:00:00Z,42
UDR8233,2025-04-21 16:00:00Z,43
UDR8233,2025-04-21 17:00:00Z,42
UDR8233,2025-04-21 18:00:00Z,42
UDR8233,2025-04-21 20:00:00Z,43
UDR8233,2025-04-21 21:00:00Z,41
UDR8233,2025-04-21 22:00:00Z,42
UDR8233,2025-04-22 11:00:00Z,0
UDR8233,2025-04-22 12:00:00Z,0
UDR8233,2025-04-22 13:00:00Z,0
UDR8233,2025-04-22 14:00:00Z,0
UDR8233,2025-04-22 15:00:00Z,0
UDR8233,2025-04-22 16:00:00Z,0
UDR8233,2025-04-22 17:00:00Z,0
UDR8233,2025-04-22 18:00:00Z,0
UDR8233,2025-04-22 20:00:00Z,0
UDR90B9,2025-04-20 21:00:00Z,60
UDR90B9,2025-04-20 22:00:00Z,59
UDR90B9,2025-04-20 23:00:00Z,59
UDR90B9,2025-04-21 03:00:00Z,60
UDR90B9,2025-04-21 04:00:00Z,61
UDR90B9,2025-04-21 05:00:00Z,62
UDR90B9,2025-04-21 06:00:00Z,63
UDR90B9,2025-04-21 07:00:00Z,63
UDR90B9,2025-04-21 09:00:00Z,63
UDR90B9,2025-04-21 10:00:00Z,62
UDR90B9,2025-04-21 11:00:00Z,62
UDR90B9,2025-04-21 12:00:00Z,62
UDR90B9,2025-04-21 13:00:00Z,61
UDR90B9,2025-04-21 14:00:00Z,61
UDR90B9,2025-04-21 15:00:00Z,61
UDR90B9,2025-04-21 16:00:00Z,61
UDR90B9,2025-04-21 17:00:00Z,60
UDR90B9,2025-04-21 18:00:00Z,61
UDR90B9,2025-04-21 20:00:00Z,62
UDR90B9,2025-04-21 21:00:00Z,63
UDR90B9,2025-04-21 22:00:00Z,65
UDR90B9,2025-04-22 11:00:00Z,76
UDR90B9,2025-04-22 12:00:00Z,77
UDR90B9,2025-04-22 13:00:00Z,77
UDR90B9,2025-04-22 14:00:00Z,79
UDR90B9,2025-04-22 15:00:00Z,81
UDR90B9,2025-04-22 16:00:00Z,82
UDR90B9,2025-04-22 17:00:00Z,83
UDR90B9,2025-04-22 18:00:00Z,82
UDR90B9,2025-04-22 20:00:00Z,82
UDRB4F7,2025-04-21 12:00:00Z,52
UDRB4F7,2025-04-21 13:00:00Z,51
UDRB4F7,2025-04-21 14:00:00Z,52
UDRB4F7,2025-04-21 15:00:00Z,52
UDRB4F7,2025-04-21 16:00:00Z,52
UDRB4F7,2025-04-21 17:00:00Z,52
UDRB4F7,2025-04-21 18:00:00Z,52
UDRB4F7,2025-04-21 19:00:00Z,53
UDRB4F7,2025-04-21 20:00:00Z,54
UDRB4F7,2025-04-21 21:00:00Z,55
UDRB4F7,2025-04-21 22:00:00Z,56
UDRB4F7,2025-04-21 23:00:00Z,56
UDRB4F7,2025-04-22 00:00:00Z,56
UDRB4F7,2025-04-22 01:00:00Z,56
UDRB4F7,2025-04-22 02:00:00Z,55
UDRB4F7,2025-04-22 03:00:00Z,53
UDRB4F7,2025-04-22 04:00:00Z,53
UDRB4F7,2025-04-22 05:00:00Z,53
UDRB4F7,2025-04-22 06:00:00Z,52
